City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Seydi,TM,2022-07-17 19:52:01,39.4816,62.9137,91.36,14,0,12.53
161,Basco,PH,2022-07-17 19:52:01,20.4487,121.9702,84.83,79,100,13.53
162,Tura,IN,2022-07-17 19:52:02,25.5198,90.2201,75.49,94,99,4.76
163,Nikolskoye,RU,2022-07-17 19:52:02,59.7035,30.7861,57.09,95,100,4.74
164,Kamaishi,JP,2022-07-17 19:52:02,39.2667,141.8833,70.32,92,49,3.49
165,Kindu,CD,2022-07-17 19:52:03,-2.95,25.95,78.69,52,100,2.39
166,Raichur,IN,2022-07-17 19:52:03,16.2,77.3667,76.89,80,100,15.61
167,Pangody,RU,2022-07-17 19:52:04,65.85,74.4859,56.77,64,64,10.94
168,Provideniya,RU,2022-07-17 19:52:04,64.3833,-173.3,52.56,90,98,9.84
169,Lebu,CL,2022-07-17 19:52:05,-37.6167,-73.65,50.56,85,40,15.39
170,Aras,ES,2022-07-17 19:52:05,42.5617,-2.356,88.23,33,20,2.3
171,Ucluelet,CA,2022-07-17 19:52:06,48.9329,-125.5528,62.91,85,46,1.01
172,Cidreira,BR,2022-07-17 19:52:06,-30.1811,-50.2056,55.69,66,33,11.92
173,Jasper,US,2022-07-17 19:50:24,37.2001,-94.3502,99.45,38,20,10.36
174,Santa Marta,CO,2022-07-17 19:51:08,11.2408,-74.199,91.45,62,40,4.61
175,Isabela,PH,2022-07-17 19:52:07,6.7085,121.9711,77.43,89,100,8.46
176,Petropavlovsk-Kamchatskiy,RU,2022-07-17 19:52:07,53.0452,158.6483,57.79,100,0,2.24
177,Kruisfontein,ZA,2022-07-17 19:52:08,-34.0033,24.7314,72.37,24,0,19.51
178,Troitsko-Pechorsk,RU,2022-07-17 19:52:08,62.7084,56.1964,60.78,93,17,2.21
179,Beringovskiy,RU,2022-07-17 19:52:09,63.05,179.3167,45.75,60,10,29.28
180,Shellbrook,CA,2022-07-17 19:52:09,53.2168,-106.4011,76.23,59,51,3.09
181,Picota,PE,2022-07-17 19:52:10,-6.9197,-76.3304,86.49,55,68,1.57
182,Kapit,MY,2022-07-17 19:52:10,2.0167,112.9333,73.78,93,99,1.14
183,Khorramshahr,IR,2022-07-17 19:52:10,30.4397,48.1664,105.76,9,0,11.5
184,Hamilton,US,2022-07-17 19:49:01,39.1834,-84.5333,74.25,94,100,13.8
185,Severo-Yeniseyskiy,RU,2022-07-17 19:52:11,60.3725,93.0408,49.82,86,93,4.16
186,Ilhabela,BR,2022-07-17 19:52:11,-23.7781,-45.3581,69.26,92,100,8.48
187,Buala,SB,2022-07-17 19:53:12,-8.145,159.5921,79.29,82,27,8.57
188,Mugumu,TZ,2022-07-17 19:53:12,-1.85,34.7,68.04,52,100,3.8
189,Morondava,MG,2022-07-17 19:53:13,-20.2833,44.2833,72.27,52,0,11.16
190,Lieksa,FI,2022-07-17 19:53:13,63.3167,30.0167,54.72,88,88,7.72
191,Campo Maior,BR,2022-07-17 19:53:14,-4.8278,-42.1686,92.59,33,60,0.69
192,San Juan,AR,2022-07-17 19:50:47,-31.5375,-68.5364,64.27,13,0,7.76
193,Lodja,CD,2022-07-17 19:53:14,-3.4833,23.4333,75.78,47,34,2.24
194,Kaposvar,HU,2022-07-17 19:52:10,46.3667,17.8,64.53,27,0,3.44
195,Naigarhi,IN,2022-07-17 19:53:15,24.7833,81.7833,85.82,63,15,14.36
196,Togul,RU,2022-07-17 19:53:15,53.465,85.9128,52.74,86,63,3.42
197,Adrar,MR,2022-07-17 19:53:16,20.5022,-10.0711,103.51,9,76,9.53
198,Lazaro Cardenas,MX,2022-07-17 19:53:16,17.9583,-102.2,86.61,63,87,11.32
199,Collie,AU,2022-07-17 19:53:17,-33.3667,116.15,50.18,98,99,7.96
200,Ejido,VE,2022-07-17 19:53:17,8.5514,-71.2375,75.51,81,88,3.31
201,Datong,CN,2022-07-17 19:53:18,40.0936,113.2914,67.55,38,69,6.24
202,Thunder Bay,CA,2022-07-17 19:53:18,48.4001,-89.3168,73.31,68,20,10.36
203,Kjollefjord,NO,2022-07-17 19:53:18,70.9457,27.3465,53.42,82,75,3.44
204,Ranau,MY,2022-07-17 19:53:19,5.9538,116.6641,70.63,75,100,2.19
205,Vardo,NO,2022-07-17 19:53:19,70.3705,31.1107,53.58,94,0,6.91
206,Payo,ID,2022-07-17 19:53:20,-3.7508,103.6372,72.7,95,81,2.21
207,Murgab,TM,2022-07-17 19:53:20,37.4966,61.9714,84.07,28,0,6.91
208,Turangi,NZ,2022-07-17 19:53:21,-39.0,175.9333,32.54,99,86,1.5
209,Manono,CD,2022-07-17 19:53:21,-7.3,27.4167,77.52,35,52,6.15
210,Ziro,IN,2022-07-17 19:53:21,27.6333,93.8333,60.64,98,100,0.38
211,Isangel,VU,2022-07-17 19:53:22,-19.55,169.2667,74.75,87,100,15.21
212,Amahai,ID,2022-07-17 19:53:22,-3.3333,128.9167,76.06,91,96,5.86
213,Opuwo,NA,2022-07-17 19:53:03,-18.0607,13.84,62.04,34,0,7.96
214,Dunedin,NZ,2022-07-17 19:53:23,-45.8742,170.5036,53.02,73,100,10.58
215,Rio Gallegos,AR,2022-07-17 19:53:24,-51.6226,-69.2181,33.85,75,40,9.22
216,Kahului,US,2022-07-17 19:49:43,20.8947,-156.47,83.97,64,20,20.71
217,Guerrero Negro,MX,2022-07-17 19:53:24,27.9769,-114.0611,81.75,45,1,11.1
218,Dudinka,RU,2022-07-17 19:53:25,69.4058,86.1778,54.63,68,0,9.15
219,Morehead,US,2022-07-17 19:53:25,37.2711,-87.1764,79.99,94,40,4.61
220,Egvekinot,RU,2022-07-17 19:53:26,66.3167,-179.1667,34.74,54,19,24.38
221,Sioux Lookout,CA,2022-07-17 19:50:36,50.1001,-91.917,84.27,51,75,11.5
222,Cayenne,GF,2022-07-17 19:53:26,4.9333,-52.3333,87.84,1,40,11.5
223,Illapel,CL,2022-07-17 19:53:26,-31.6308,-71.1653,59.2,45,100,1.36
224,Kondinskoye,RU,2022-07-17 19:53:27,59.6481,67.41,59.31,66,44,1.63
225,Qinhuangdao,CN,2022-07-17 19:53:27,39.9317,119.5883,71.08,84,0,1.7
226,Gorele,TR,2022-07-17 19:53:28,41.0308,39.0031,70.21,86,44,8.77
227,Leeds,GB,2022-07-17 19:51:19,53.7964,-1.5477,83.08,40,0,12.66
228,Kutum,SD,2022-07-17 19:53:28,14.2,24.6667,82.13,41,79,3.69
229,Westport,US,2022-07-17 19:53:28,41.1415,-73.3579,86.09,65,100,4.0
230,Turayf,SA,2022-07-17 19:53:29,31.6725,38.6637,89.85,23,0,11.5
231,Saint George,US,2022-07-17 19:52:56,37.1041,-113.5841,102.63,20,0,17.27
232,Debre Sina,ET,2022-07-17 19:53:29,9.85,39.7667,58.1,66,91,2.53
233,Fairbanks,US,2022-07-17 19:53:30,64.8378,-147.7164,64.09,66,40,0.0
234,Barabai,ID,2022-07-17 19:53:30,-2.5833,115.3833,72.79,94,100,1.99
235,Carora,VE,2022-07-17 19:54:30,10.1755,-70.0827,96.42,30,33,17.29
236,Qaqortoq,GL,2022-07-17 19:54:31,60.7167,-46.0333,46.36,77,100,11.16
237,Tasiilaq,GL,2022-07-17 19:54:31,65.6145,-37.6368,41.29,79,63,6.02
238,Alexandria,EG,2022-07-17 19:53:54,31.2156,29.9553,78.76,73,0,9.22
239,Sisophon,KH,2022-07-17 19:54:32,13.5859,102.9737,77.47,88,100,5.1
240,Diffa,NE,2022-07-17 19:54:32,13.3154,12.6113,76.08,76,52,14.72
241,Bikaner,IN,2022-07-17 19:54:33,28.0167,73.3,89.82,59,6,6.49
242,Vilyuysk,RU,2022-07-17 19:54:33,63.7553,121.6247,62.78,98,99,4.99
243,Bayshore Gardens,US,2022-07-17 19:54:33,27.4253,-82.5904,90.05,64,9,1.01
244,Bani Walid,LY,2022-07-17 19:54:34,31.7566,13.9942,77.99,49,0,12.35
245,Oktyabrskiy,RU,2022-07-17 19:54:34,54.4815,53.471,66.2,86,100,2.04
246,Kenai,US,2022-07-17 19:54:35,60.5544,-151.2583,55.49,97,100,4.61
247,Huanan,CN,2022-07-17 19:54:35,46.2167,130.5167,63.05,95,100,4.99
248,Miramar,US,2022-07-17 19:54:36,25.9873,-80.2323,92.01,65,20,16.11
249,Schoningen,DE,2022-07-17 19:54:36,52.138,10.9675,67.39,50,100,3.04
