WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
262,Kahului,US,20.8947,-156.47,78.42,70,14,13.35,few clouds
263,Rio Grande,BR,-32.035,-52.0986,62.71,73,0,7.02,clear sky
264,Bardiyah,LY,31.7561,25.0865,77.2,69,0,9.62,clear sky
265,Bahjoi,IN,28.4,78.6167,91.42,53,5,5.99,clear sky
266,Holme,DK,56.1138,10.1725,74.77,58,4,6.73,clear sky
267,Talnakh,RU,69.4865,88.3972,52.21,58,21,5.23,few clouds
268,Faya,SA,18.3851,42.4509,64.92,50,100,11.79,light rain
269,Key Largo,US,25.0865,-80.4473,91.99,60,4,10.36,clear sky
270,Udachnyy,RU,66.4167,112.4,50.45,81,100,13.29,overcast clouds
271,Suicheng,CN,33.8963,117.9331,77.04,89,100,6.33,overcast clouds
272,Coaraci,BR,-14.6408,-39.5511,73.58,79,25,4.9,scattered clouds
273,Constitucion,CL,-35.3333,-72.4167,56.77,57,6,12.8,clear sky
274,Asau,RO,46.4333,26.4,72.52,53,98,3.51,overcast clouds
275,Palana,RU,59.1167,159.9667,53.53,84,100,19.82,overcast clouds
276,Lusambo,CD,-4.9667,23.45,74.77,59,11,2.95,few clouds
277,Kosino,RU,58.4127,51.2782,57.56,97,38,10.04,scattered clouds
278,Amahai,ID,-3.3333,128.9167,75.54,91,100,5.46,overcast clouds
279,Ahuimanu,US,21.4447,-157.8378,80.37,72,6,5.99,clear sky
280,Nikolskoye,RU,59.7035,30.7861,64.29,90,46,5.55,scattered clouds
281,Mount Gambier,AU,-37.8333,140.7667,34.5,92,1,4.68,clear sky
282,Batemans Bay,AU,-35.7167,150.1833,47.1,76,85,7.45,overcast clouds
283,Yerbogachen,RU,61.2767,108.0108,62.98,70,82,8.1,broken clouds
284,Hoquiam,US,46.9809,-123.8893,79.36,81,2,7.45,clear sky
285,Aleysk,RU,52.4926,82.7822,55.98,86,11,7.05,few clouds
286,Kastornoye,RU,51.8334,38.1302,57.02,88,50,7.78,scattered clouds
287,Mogadishu,SO,2.0371,45.3438,75.52,74,100,16.51,overcast clouds
288,Shagonar,RU,51.5333,92.8,54.68,72,46,3.38,light rain
289,Palauig,PH,15.435,119.9045,80.98,80,16,4.52,few clouds
290,Vokhtoga,RU,58.8147,41.0461,57.09,75,100,10.07,overcast clouds
291,Taree,AU,-31.9,152.4667,56.1,88,100,0.07,overcast clouds
